N°;COMUNA;NOMBRE COMUNA;NOMBRE DE LA ORGANIZACIÓN;TIPO DE ORGANIZACIÓN;DANE ESTABLECIDO;TELÉFONO DE LA ORGANIZACIÓN;CORREO ELECTRÓNICO DE LA ORGANIZACIÓN;DIRECCIÓN FÍSICA DE LA ORGANIZACIÓN;NOMBRE DEL REPRESENTANTE LEGAL DE LA ORGANIZACIÓN;CARGO EN LA ORGANIZACIÓN;TELÉFONO Y CELULAR;NOMBRE DEL ENLACE DENTRO DE LA ORGANIZACIÓN;CARGO EN LA ORGANIZACIÓN;TELÉFONO Y CELULAR;CORREO ELECTRÓNICO;VALIDACION/SOCIALIZACION;FECHA ÚLTIMA ACTUALIZACIÓN;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
346;13;SAN JAVIER;INST EDUC EDUARDO SANTOS;IE ;105001015172;4920920;rectoria@iedeboraarango.edu.co;CL 43 120 C 77;MANUEL A. LOPEZ RAMIREZ;RECTORA;4920920;MANUEL A. LOPEZ RAMIREZ;RECTORA;4920920;rectoria@iedeboraarango.edu.co;ACTIVO;2020;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
347;13;SAN JAVIER;SEC ESC PEDRO J GOMEZ;IE ;105001015172;2536425;rectoria@iedeboraarango.edu.co;CR 118    39DA-95;MANUEL A. LOPEZ RAMIREZ;RECTORA;2536425;MANUEL A. LOPEZ RAMIREZ;RECTORA;2536425;rectoria@iedeboraarango.edu.co;ACTIVO;2020;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
348;13;SAN JAVIER;INST EDUC STELLA VELEZ LONDOÑO;IE ;105001019011;4927513/4921275/4922768/T3734927192;comunicaciones@iestellavelez.edu.co;CL 48 DD 99D 99;PEDRO ANTONIO MENA OREJUELA;RECTOR;4927513/4921275/4922768/T3734927192;PEDRO ANTONIO MENA OREJUELA;RECTOR;4927513/4921275/4922768/T3734927192;comunicaciones@iestellavelez.edu.co;ACTIVO;2020;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
349;13;SAN JAVIER;INST EDUC LA INDEPENDENCIA;IE ;105001021199;4929808;ie.laindepencia@hotmail.com;CL 39 D 112 81 IN 105;BEATRIZ EUGENIA RIOS;RECTORA;4929808;BEATRIZ EUGENIA RIOS;RECTORA;4929808;ie.laindepencia@hotmail.com;ACTIVO;2020;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
350;13;SAN JAVIER;SEC ESC AMOR AL NIÑO;IE ;105001021199;2531283;ie.laindepencia@hotmail.com;CR 115    39BD -06;BEATRIZ EUGENIA RIOS;RECTORA;2531283;BEATRIZ EUGENIA RIOS;RECTORA;2531283;ie.laindepencia@hotmail.com;ACTIVO;2020;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
351;13;SAN JAVIER;SEC ESC REFUGIO DEL NIÑO;IE ;105001021199;4964993;ie.laindepencia@hotmail.com;CR 114    36C-61;BEATRIZ EUGENIA RIOS;RECTORA;4964993;BEATRIZ EUGENIA RIOS;RECTORA;4964993;ie.laindepencia@hotmail.com;ACTIVO;2020;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
352;70;ALTAVISTA;INST EDUC EL CORAZÓN ;IE ;105001026352;2523404;Sin registro;CR 116 F 34 A 131;EDILSON GIRALDO MONTOYA;RECTOR;2523404;EDILSON GIRALDO MONTOYA;RECTOR;2523404;Sin registro;ACTIVO;2020;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
353;13;SAN JAVIER;SEC ESC EL CORAZON;IE ;105001026352;2535611;Sin registro;CL 34B    116D-25;EDILSON GIRALDO MONTOYA;RECTOR;2535611;EDILSON GIRALDO MONTOYA;RECTOR;2535611;Sin registro;ACTIVO;2020;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
354;13;SAN JAVIER;INST EDUC BLANQUIZAL;IE ;105001026689;4383053;ieblanquizal@gmail.com;CR 92DD    57F 41;PEDRO ANTONIO GOMEZ ESPINOSA;RECTOR;4383053;PEDRO ANTONIO GOMEZ ESPINOSA;RECTOR;4383053;ieblanquizal@gmail.com;ACTIVO;2020;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
355;13;SAN JAVIER;INST EDUC FUNDADORES;IE ;105001026697;2528045;Sin registro;CR 101   47C 85;LUIS GUILLERMO GALOFRE SAAVEDRA;RECTOR;2528045;LUIS GUILLERMO GALOFRE SAAVEDRA;RECTOR;2528045;Sin registro;ACTIVO;2020;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
356;13;SAN JAVIER;SEC ESC EL SOCORRO;IE ;105001026697;2526216;Sin registro;CR 102B    47B-32;LUIS GUILLERMO GALOFRE SAAVEDRA;RECTOR;2526216;LUIS GUILLERMO GALOFRE SAAVEDRA;RECTOR;2526216;Sin registro;ACTIVO;2020;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
357;13;SAN JAVIER;COL EL HOGAR DE SU NIÑO;IE ;305001005893;4965188;Sin registro;CL 45 99 25;ROSA ELVIRA RUIZ NOVOA;RECTORA;4965188;ROSA ELVIRA RUIZ NOVOA;RECTORA;4965188;Sin registro;ACTIVO;2020;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
358;13;SAN JAVIER;COL ARENYS DEL MAR;IE ;305001017298;4383122;arenyscolegio@hotmail.com;CL 58D    93A 87;DIANA PATRICIA PULIDO PULIDO;RECTORA;4383122;DIANA PATRICIA PULIDO PULIDO;RECTORA;4383122;arenyscolegio@hotmail.com;ACTIVO;2020;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
359;15;GUAYABAL;INST EDUC SANTA CATALINA DE SIENA;IE ;105001001716;3541437 - 2667989;ie.santacatalina@medellin.gov.co;CL 1 # 29 - 300;DIANA ROCIO DE LOS RIOS ARIAS;RECTORA;3541437 - 2667989;DIANA ROCIO DE LOS RIOS ARIAS;RECTORA;3541437 - 2667989;ie.santacatalina@medellin.gov.co;ACTIVO;2020;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
360;14;POBLADO;INST EDUC INEM JOSE FELIX DE RESTREPO;IE ;105001013340;2663443/2664600;inemjose@inemjose.edu.co;CR 48 1 125;MARGARITA MARIA JARAMILLO GUZMAN;RECTORA;2663443/2664600;MARGARITA MARIA JARAMILLO GUZMAN;RECTORA;2663443/2664600/2663483;inemjose@inemjose.edu.co;Sin registro;2020;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
361;14;POBLADO;SEC ESC JESUS RESTREPO VILLA;IE ;105001013340;3171291;inemjose@inemjose.edu.co;CL 20 SUR 25 B 91;MARGARITA MARIA JARAMILLO GUZMAN;RECTORA;3171291;MARGARITA MARIA JARAMILLO GUZMAN;RECTORA;3171291;inemjose@inemjose.edu.co;INHABILITADO;2020;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
362;14;POBLADO;SEC ESC GUILLERMO ECHAVARRIA MISAS;IE ;105001013340;3112578;inemjose@inemjose.edu.co;CR 43B   9 61;MARGARITA MARIA JARAMILLO GUZMAN;RECTORA;3112578;MARGARITA MARIA JARAMILLO GUZMAN;RECTORA;3112578;inemjose@inemjose.edu.co;ACTIVO;2020;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
363;12;LA AMERICA;COL LATINO;IE ;305001005265;4447559;Sin registro;KR 86 A 34 A 64;JHON JAIRO OROZCO VIDAL;RECTOR;4447559;JHON JAIRO OROZCO VIDAL;RECTOR;4447559;Sin registro;ACTIVO;2020;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
364;15;GUAYABAL;INST EDUC JOSE ACEVEDO Y GOMEZ;IE ;105001000396; 2552996, 2853667, 2853736;Sin registro;CL 8 SUR 52 B 72;JAIME ALBERTO SIERRA TORRES;RECTOR; 2552996, 2853667, 2853736;JAIME ALBERTO SIERRA TORRES;RECTOR; 2552996, 2853667, 2853736;Sin registro;ACTIVO;2020;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
365;15;GUAYABAL;SEC ESC GABRIELA MISTRAL;IE ;105001000396;2551446;Sin registro;CL 10SUR    52-09;JAIME ALBERTO SIERRA TORRES;RECTOR;2551446;JAIME ALBERTO SIERRA TORRES;RECTOR;2551446;Sin registro;ACTIVO;2020;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
366;15;GUAYABAL;SEC ESC LA COLINA;IE ;105001000396;2550356;Sin registro;CR 52C    12ASUR-23;JAIME ALBERTO SIERRA TORRES;RECTOR;2550356;JAIME ALBERTO SIERRA TORRES;RECTOR;2550356;Sin registro;ACTIVO;2020;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
367;15;GUAYABAL;SEC ESC REPUBLICA DE COSTA RICA;IE ;105001000396;2852538;Sin registro;CR 52    7SUR-23;JAIME ALBERTO SIERRA TORRES;RECTOR;2852538;JAIME ALBERTO SIERRA TORRES;RECTOR;2852538;Sin registro;ACTIVO;2020;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
368;15;GUAYABAL;INST EDUC LA SALLE DE CAMPOAMOR;IE ;105001000485;2851571;Sin registro;CR 65 B 4 49;BLANCA DOLLY BUILES VALDERRAMA;RECTORA;2851571;BLANCA DOLLY BUILES VALDERRAMA;RECTORA;2851571;Sin registro;ACTIVO;2020;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
369;15;GUAYABAL;INST EDUC BENJAMIN HERRERA;IE ;105001002071;2653004;contacto@benjaminherreramedellin.edu.co;CL 25 52 140;GIL ALBERTO GIRALDO JIMENEZ;RECTOR;2653004;GIL ALBERTO GIRALDO JIMENEZ;RECTOR;2653004;contacto@benjaminherreramedellin.edu.co;ACTIVO;2020;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
370;15;GUAYABAL;SEC ESC SANTISIMA TRINIDAD;IE ;105001002071;2353435;Sin registro;CL 26    65B-100;GIL ALBERTO GIRALDO JIMENEZ;RECTOR;2653004;GIL ALBERTO GIRALDO JIMENEZ;RECTOR;2353435;Sin registro;ACTIVO;2020;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
371;15;GUAYABAL;INST EDUC CRISTO REY;IE ;105001002496;2850778-2850798;academica@inscrey.edu.co;CL 2 SUR 50 D 30;JUAN ANGEL GIRALDO CORREA;RECTOR;2850778-2850798;JUAN ANGEL GIRALDO CORREA;RECTOR;2850778-2850798;academica@inscrey.edu.co;ACTIVO;2020;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
372;15;GUAYABAL;SEC ESC CRISTO REY-APOLO;IE ;105001010740;2556549;Sin registro;CARRERA 50G 3SUR 34;JUAN ANGEL GIRALDO CORREA;RECTOR;2556549;JUAN ANGEL GIRALDO CORREA;RECTOR;2556549;Sin registro;ACTIVO;2020;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
373;15;GUAYABAL;INST EDUC LA PRESENTACION;IE ;105001004472;2555481-3615509;Sin registro;CL 7 56 8;GUSTAVO ANTONIO DE LA VIRGEN DEL CARMEN ALVAREZ YEPES;;2555481-3615509;GUSTAVO ANTONIO DE LA VIRGEN DEL CARMEN ALVAREZ YEPES;RECTOR;2555481-3615509;Sin registro;ACTIVO;2020;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
374;15;GUAYABAL;INST EDUC SANTO ANGEL;IE ;105001004791;2853623;Sin registro;CL 2 SUR 53 140;ALBA RUTH JARAMILLO CARDONA;RECTORA;2853623;ALBA RUTH JARAMILLO CARDONA;RECTORA;2853623;Sin registro;ACTIVO;2020;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
375;15;GUAYABAL;INST EDUC OCTAVIO CALDERON MEJIA;IE ;105001007421;3615754;ie.octaviocalderon@medellin.gov.co;CR 58 7 157;CLAUDIA MARIA HOLGUIN HERNANDEZ;reCTORA;3615754;CLAUDIA MARIA HOLGUIN HERNANDEZ;RECTORA;3615754;ie.octaviocalderon@medellin.gov.co;ACTIVO;2020;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
376;15;GUAYABAL;INST EDUC SANTOS ANGELES CUSTODIOS;IE ;105001010367;2357397;ie.santosangelescust@gmail.com;CL 16 A 65 G 4;MARY LUZ RODRIGUEZ GIRALDO;RECTORA;2357397;MARY LUZ RODRIGUEZ GIRALDO;RECTORA;2357397;ie.santosangelescust@gmail.com;ACTIVO;2020;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
377;15;GUAYABAL;SEC ESC JUAN PABLO II;IE ;105001010367;2356452;Sin registro;CR 65G    16A-12;MARY LUZ RODRIGUEZ GIRALDO;RECTORA;2356452;MARY LUZ RODRIGUEZ GIRALDO;RECTORA;2356452;Sin registro;ACTIVO;2020;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
378;16;BELEN;INST EDUC REPUBLICA DE VENEZUELA;IE ;105001000868;2388255;ie.republicadenenezu@medellin.gov.co;Cl 31 C Nº 89 C 62;JUAN IGNACIO GALLO JIMENEZ;RECTOR;2388255;JUAN IGNACIO GALLO JIMENEZ;RECTOR;2388255;ie.republicadenenezu@medellin.gov.co;ACTIVO;2020;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
379;16;BELEN;INST EDUC SAN ROBERTO BELARMINO;IE ;105001002003;2562097/2560140;sanrobertobelarmino@gmail.com;CL 32 B 83 39;ALICIA MARIA MARIN OCHOA;RECTORA;2562097/2560140;ALICIA MARIA MARIN OCHOA;RECTORA;2562097/2560140;sanrobertobelarmino@gmail.com;ACTIVO;2020;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
380;16;BELEN;INST EDUC FATIMA NUTIBARA;IE ;105001003123;2354351 - 2655463;institucional@iefatimanutibara.edu.co;CR 65 A 32 B 120;NORA CONSUELO CARVAJAL MEJIA;RECTORA;2354351 - 2655463;NORA CONSUELO CARVAJAL MEJIA;RECTORA;2354351 - 2655463;institucional@iefatimanutibara.edu.co;ACTIVO;2020;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
381;16;BELEN;SEC SOFIA OSPINA DE NAVARRO;IE ;105001002518;2655463 3513394;Sin registro;CL 32    65-20;NORA CONSUELO CARVAJAL MEJIA;RECTORA;2354351 - 2655463;NORA CONSUELO CARVAJAL MEJIA;RECTORA;2655463 3513394;Sin registro;ACTIVO;2020;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
382;16;BELEN;INST EDUC ROSALIA SUAREZ;IE ;105001003450;2389831/3530544;Sin registro;CALLE 30 A 80 18;LUBEIDA RIOS CORREA;RECTORA;2389831/3530544;LUBEIDA RIOS CORREA;RECTORA;2389831/3530544;Sin registro;ACTIVO;2020;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
383;16;BELEN;SEC ESC MUNICIPAL BELEN;IE ;105001019879;2389831;Sin registro;CALLE 30 A 80 18;LUBEIDA RIOS CORREA;RECTORA;2389831;LUBEIDA RIOS CORREA;RECTORA;2389831;Sin registro;ACTIVO;2020;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
384;16;BELEN;INST EDUC PEDRO OCTAVIO AMADO;IE ;105001006181;2385168/2569394;Sin registro;CR 88 A 18 A 5;GLORIA CECILIAR GUTIERREZ;RECTORA;2385168/2569394;GLORIA CECILIA GUTIERREZ ZAPATA;RECTORA;2385168/2569394;Sin registro;ACTIVO;2020;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
385;16;BELEN;INST EDUC RAMON GIRALDO CEBALLOS;IE ;105001000493;3411830/3472585;Sin registro;CR 82 A 21 15;MIGUEL ANGEL VELASQUEZ OBANDO;RECTOR;3411830/3472585;MIGUEL ANGEL VELASQUEZ OBANDO;RECTOR;3411830/3472585;Sin registro;ACTIVO;2020;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
386;16;BELEN;INST EDUC HORACIO MUÑOZ SUESCUN;IE ;105001011606;2381265;ie.horaciomunoz@medellin.gov.co;CL 32 86 35;GILDARDO DE JESUS RESTREPO CARDENAS;RECTOR;2381265;GILDARDO DE JESUS RESTREPO CARDENAS;RECTOR;2381265;ie.horaciomunoz@medellin.gov.co;ACTIVO;2020;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
387;16;BELEN;SEC ESC SAN PABLO;IE ;105001002741;2564182;Sin registro;CR 102 Nº 31 B 28;GILDARDO DE JESUS RESTREPO CARDENAS;RECTOR;2564182;GILDARDO DE JESUS  RESTREPO CARDENAS;RECTOR;2564182;Sin registro;ACTIVO;2020;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
388;16;BELEN;INST EDUC JUAN MARIA CESPEDES;IE ;105001012106;3414468-3224192;Sin registro;CL 32 B 76 A 48;LUBIN DE JESUS FERNANDEZ OTALVARO;RECTOR;3414468-3224192;LUBIN DE JESUS FERNANDEZ OTALVARO;RECTOR;3414468-3224192;rectoria@juanmariacespedes.edu.co;ACTIVO;2020;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
389;16;BELEN;SEC ESC LAS PLAYAS;IE ;105001800163;2565476;Sin registro;CL 10 76 20 ;LUBIN DE JESUS FERNANDEZ OTALVARO;RECTOR;2565476;LUBIN DE JESUS FERNANDEZ OTALVARO;RECTOR;2565476;Sin registro;ACTIVO;2020;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
390;16;BELEN;INST EDUC JOSE MARIA BERNAL;IE ;105001000132;3432086/3454793;Sin registro;CR 70 A 13 A 19;VICTOR RICARDO HERRERA CASTILLO;RECTOR;3432086/3454793;VICTOR RICARDO HERRERA CASTILLO;RECTOR;3432086/3454793;Sin registro;ACTIVO;2020;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
391;16;BELEN;INST EDUC ANTONIO RICAURTE;IE ;105001001023;2384910-3532402;ie.antonioricaurte@hotmail.com;CR 80 # 2-11;HNA. MARTA MARIA RESTREPO PARRA;RECTORA;2384910-3532402;HNA. MARTA MARIA RESTREPO PARRA;RECTORA;2384910-3532402;ie.antonioricaurte@hotmail.com;ACTIVO;2020;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
392;16;BELEN;INST EDUC YERMO Y PARRES;IE ;105001001635;3471590 - 3433208;Sin registro;CL 28 77 84;GUILLERMO LOPEZ RAMIREZ;RECTOR;3471590 - 3433208;GUILLERMO LOPEZ RAMIREZ;RECTOR;3471590 - 3433208;Sin registro;ACTIVO;2020;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
393;16;BELEN;SEC ESC CARLOS FRANCO;IE ;105001001171;3432833;Sin registro;CL 23 78 48;GUILLERMO LOPEZ RAMIREZ;RECTOR;3432833;GUILLERMO LOPEZ RAMIREZ;RECTOR;3432833;Sin registro;ACTIVO;2020;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
394;16;BELEN;SEC ESC GUILLERMO VALENCIA;IE ;105001002372;2560941;Sin registro;CR 77 25 67;GUILLERMO LOPEZ RAMIREZ;RECTOR;2560941;GUILLERMO LOPEZ RAMIREZ;RECTOR;2560941;Sin registro;ACTIVO;2020;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
395;16;BELEN;INST EDUC OCTAVIO HARRY - JACQUELINE KENNEDY;IE ;105001003271;3432569/3435934;secretariaoh@gmail.com;CL 17 73 37;KAMMEL DEONNI GUTIERREZ VALENCIA;RECTOR;3432569/3435934;KAMMEL DEONNI GUTIERREZ VALENCIA;RECTOR;3432569/3435934;secretariaoh@gmail.com;ACTIVO;2020;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
396;16;BELEN;SEC JARDIN INFANTIL NO 1;IE ;105001012548;3434731-3435181;Sin registro;CR 72 AN° 20A-62;KAMMEL DEONNI GUTIERREZ VALENCIA;RECTOR;3434731-3435181;KAMMEL DEONNI GUTIERREZ VALENCIA;RECTOR;3434731-3435181;Sin registro;ACTIVO;2020;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
397;16;BELEN;INST EDUC CAPILLA DEL ROSARIO;IE ;105001008486;3410913 Ext 101-102;Sin registro;CL 6 SUR 79 195;JORGE IVAN BUITRAGO NARANJO;RECTOR;3410913 Ext 101-102;JORGE IVAN BUITRAGO NARANJO;RECTOR;3410913 Ext 101-102;Sin registro;ACTIVO;2020;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
398;16;BELEN;INST EDUC ALCALDIA DE MEDELLIN;IE ;105001019925;3419090;institucionalcaldiademedellin@gmail.com;CL 2 B 79 80;ALEXANDER NIÑO SAAVEDRA;RECTOR;3419090;ALEXANDER NIÑO SAAVEDRA;RECTOR;3419090;institucionalcaldiademedellin@gmail.com;ACTIVO;2020;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
399;16;BELEN;SEC ESC ANTONIO JOSE RESTREPO;IE ;105001000027;2383027;Sin registro;CL 2    79-42;ALEXANDER NIÑO SAAVEDRA;RECTOR;2383027;ALEXANDER NIÑO SAAVEDRA;RECTOR;2383027;Sin registro;ACTIVO;2020;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
400;16;BELEN;SEC ESC YERMO Y PARRES;IE ;105001001643;3416578;Sin registro;CR 79    2-15;ALEXANDER NIÑO SAAVEDRA;RECTOR;3416578;ALEXANDER NIÑO SAAVEDRA;RECTOR;3416578;Sin registro;ACTIVO;2020;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
401;16;BELEN;COL GENTE UNIDA JOVENES POR LA PAZ - SEDE VILLA CAFE;IE ;305001022534;5585791- 4447405 EXT 801;Informacion@genteunida.org.co;CL 64E N° 117-03;DORA ALBA BENITEZ ARIAS;RECTOR;5585791- 4447405 EXT 801;DORA ALBA BENITEZ ARIAS;RECTOR;5585791- 4447405 EXT 801;Informacion@genteunida.org.co;ACTIVO;2020;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
402;16;BELEN;INSTITUCION EDUCATIVA PEDAGOGICO INTEGRAL;IE ;305001016861;3439800;pedagogico@une.net.co;CL 26B N° 72 - 3;BLANCA INES LOPEZ HERRERA;RECTORA;3439800;BLANCA INES LOPEZ HERRERA;RECTORA;3439800;pedagogico@une.net.co;ACTIVO;2020;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
403;60;SAN CRISTOBAL;CENT EDUC LA ALDEA;IE ;205001001966;3870129;cealdea@hotmail.com;VDA LA ALDEA;GILMA PASTORA AYALA FRANCO;RECTORA;3870129;GILMA PASTORA AYALA FRANCO;RECTORA;3870129;cealdea@hotmail.com;ACTIVO;2020;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
404;60;SAN CRISTOBAL;CENT EDUC LA VOLCANA;IE ;205001011384;3870129;Sin registro;VDA LA VOLCANA;GILMA PASTORA AYALA FRANCO;RECTORA;3870129;GILMA PASTORA AYALA FRANCO;RECTORA;3870129;Sin registro;ACTIVO;2020;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
405;60;SAN CRISTOBAL;CENT EDUC LA FRISOLA;IE ;205001001940;4463248;Sin registro;VDA  LA  FRISOLA;GLORIA ELENA ALVARZ GOMEZ;RECTORA;4463248;GLORIA ELENA ALVARZ GOMEZ;RECTORA;4463248;Sin registro;ACTIVO;2020;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
406;60;SAN CRISTOBAL;CENT EDUC LUIS MESA VILLA;IE ;205001001931;4461379;Sin registro;VDA  URQUITA;LUZ ELENA GUERRA RIOS;RECTORA;4461379;LUZ ELENA GUERRA RIOS;RECTORA;4461379;Sin registro;CIERRE DEFINITIVO;2020;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
407;60;SAN CRISTOBAL;CENT EDUC LA SUIZA;IE ;205001010841;4463712;Sin registro;VDA LA SUIZA;BLANCA AMADA MONTOYA AGUDELO;RECTORA;4463712;BLANCA AMADA MONTOYA AGUDELO;RECTORA;4463712;Sin registro;CIERRE DEFINITIVO;2020;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
408;60;SAN CRISTOBAL;CENT EDUC LA POTRERA;IE ;205001010248;3870129;Sin registro;VDA LA POTRERA;ROSMERY DE JESUS MUÑOZ ARANGO;RECTORA;3870129;ROSMERY DE JESUS MUÑOZ ARANGO;RECTORA;3870129;Sin registro;INHABILITADO;2020;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
409;60;SAN CRISTOBAL;CENT EDUC LEON ARANGO PAUCAR;IE ;205001019253;3870825;Sin registro;VDA LA SUCIA;LUZ MARLENY MUÑOZ MUÑOZ;RECTORA;3870825;LUZ MARLENY MUÑOZ MUÑOZ;RECTORA;3870825;Sin registro;INHABILITADO;2020;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
410;60;SAN CRISTOBAL;INST EDUC HECTOR ROGELIO MONTOYA;IE ;205001007735;3870058/3870112;ie.hrmpalmitas@gmail.com;CL 20    32-60;DIANA CAROLINA RIVERA;RECTORA;3870058/3870112;DIANA CAROLINA RIVERA;RECTORA;3870058/3870112;ie.hrmpalmitas@gmail.com;ACTIVO;2020;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
411;60;SAN CRISTOBAL;SEC ESC PALMITAS;IE ;105001800082;Sin registro;Sin registro;CL 20    34-105;DIANA CAROLINA RIVERA;RECTORA;Sin registro;DIANA CAROLINA RIVERA;RECTORA;Sin registro;Sin registro;ACTIVO;2020;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
412;60;SAN CRISTOBAL;CIBERCOLEGIO UCN;IE ;305001025606;6051535;Sin registro;CORREG PALMITAS;PBRO. EDUIN ALBERTO SALAZAR GIRALDO;RECTOR;6051535;PBRO. EDUIN ALBERTO SALAZAR GIRALDO;RECTOR;6051535;Sin registro;ACTIVO;2020;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
413;60;SAN CRISTOBAL;CENT EDUC LAS PLAYAS;IE ;205001014308;4272915;ce.lasplayas@medellin.gov.co;VDA LAS PLAYAS;FLORALBA PEREZ CAICEDO;RECTORA;4272915;FLORALBA PEREZ CAICEDO;RECTORA;4272915;ce.lasplayas@medellin.gov.co;ACTIVO;2020;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
414;60;SAN CRISTOBAL;CENT EDUC SAGRADO CORAZON;IE ;205001010272;4276317;Sin registro;VDA LA CUCHILLA;FLORALBA PEREZ CAICEDO;RECTORA;4276317;FLORALBA PEREZ CAICEDO;RECTORA;4276317;Sin registro;INHABILITADO;2020;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
415;60;SAN CRISTOBAL;CENT EDUC EL PATIO;IE ;205001002245;4272773;Sin registro;VDA EL PATIO;FLORALBA PEREZ CAICEDO;RECTORA;4276317;FLORALBA PEREZ CAICEDO;RECTORA;4276317;Sin registro;INHABILITADO;2020;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
416;60;SAN CRISTOBAL;CENT EDUC TRAVESIAS EL MORRO;IE ;205001019989;4273766;Sin registro;CR 143    68-20-120 EL MORRO;JOHN ALEXANDER GARCIA RODRIGUEZ;RECTOR;4273766;JOHN ALEXANDER GARCIA RODRIGUEZ;RECTOR;4273766;Sin registro;ACTIVO;2020;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
417;60;SAN CRISTOBAL;CENT EDUC FABIO ZULUAGA OROZCO;IE ;205001011651;4271840;ifzuluag@epm.net.co;VDA LA PALMA;MARTA DIONI TOBON NAVAS;RECTORA;4271840;MARTA DIONI TOBON NAVAS;RECTORA;4271840;ifzuluag@epm.net.co;INHABILITADO;2020;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
418;60;SAN CRISTOBAL;CENT EDUC PEDREGAL ALTO;IE ;205001021452;4274457;escuelitacepa@gmail.com;CR 121    69-136 VDA PEDREGAL ALTO;MARTHA IRENE LONDOÑO DE CARVAJAL;RECTORA;4274457;MARTHA IRENE LONDOÑO DE CARVAJAL;RECTORA;4274457;escuelitacepa@gmail.com;ACTIVO;2020;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
